scenario,flag,severity,explanation
policy_set_comparison__base_hit_everyone_happy__balanced_yield_compounding,LP_STILL_BELOW_1X_CASH_MOIC_AT_END,medium,LP cash distributions remain below 1.0x at model end.
policy_set_comparison__base_hit_everyone_happy__balanced_yield_compounding,LP_EXPERIENCE_WEAK_DESPITE_POSITIVE_NAV,medium,Fund NAV is positive but LP cash recovery remains below 1.0x.
policy_set_comparison__base_hit_everyone_happy__aggressive_lp_extinguishment,LP_HURDLE_NOT_ACHIEVED,high,LP did not reach the target cash MOIC within the model horizon.
policy_set_comparison__base_hit_everyone_happy__aggressive_lp_extinguishment,HURDLE_REACHED_BUT_LIQUIDITY_CONSTRAINED,high,Economic hurdle passed before available liquidity could redeem LPs.
policy_set_comparison__base_hit_everyone_happy__aggressive_lp_extinguishment,SLOW_TIME_HORIZON_DRIFT,medium,LP outcome takes a long time or does not arrive within the horizon.
policy_set_comparison__base_hit_everyone_happy__aggressive_lp_extinguishment,GP_SURVIVABILITY_RISK,medium,GP fee income in the early years is below the configured threshold.
policy_set_comparison__base_hit_everyone_happy__aggressive_lp_extinguishment,HURDLE_TRIGGER_ATTEMPTED_BUT_INSUFFICIENT,high,"Active hurdle completion trigger was eligible, but permitted funding sources were insufficient."
policy_set_comparison__base_hit_everyone_happy__aggressive_lp_extinguishment,REFINANCE_EVENT_OCCURRED,info,One or more configured refinance events generated proceeds.
policy_set_comparison__base_hit_everyone_happy__aggressive_lp_extinguishment,LP_STILL_BELOW_1X_CASH_MOIC_AT_END,medium,LP cash distributions remain below 1.0x at model end.
policy_set_comparison__base_hit_everyone_happy__aggressive_lp_extinguishment,LP_EXPERIENCE_WEAK_DESPITE_POSITIVE_NAV,medium,Fund NAV is positive but LP cash recovery remains below 1.0x.
policy_set_comparison__fast_success_crypto_bull__backend_heavy_compounding,LP_HURDLE_NOT_ACHIEVED,high,LP did not reach the target cash MOIC within the model horizon.
policy_set_comparison__fast_success_crypto_bull__backend_heavy_compounding,SLOW_TIME_HORIZON_DRIFT,medium,LP outcome takes a long time or does not arrive within the horizon.
policy_set_comparison__fast_success_crypto_bull__backend_heavy_compounding,GP_SURVIVABILITY_RISK,medium,GP fee income in the early years is below the configured threshold.
policy_set_comparison__fast_success_crypto_bull__backend_heavy_compounding,REFINANCE_EVENT_OCCURRED,info,One or more configured refinance events generated proceeds.
policy_set_comparison__fast_success_crypto_bull__backend_heavy_compounding,LP_STILL_BELOW_1X_CASH_MOIC_AT_END,medium,LP cash distributions remain below 1.0x at model end.
policy_set_comparison__fast_success_crypto_bull__backend_heavy_compounding,LP_EXPERIENCE_WEAK_DESPITE_POSITIVE_NAV,medium,Fund NAV is positive but LP cash recovery remains below 1.0x.
policy_set_comparison__fast_success_crypto_bull__balanced_yield_compounding,LP_HURDLE_NOT_ACHIEVED,high,LP did not reach the target cash MOIC within the model horizon.
policy_set_comparison__fast_success_crypto_bull__balanced_yield_compounding,SLOW_TIME_HORIZON_DRIFT,medium,LP outcome takes a long time or does not arrive within the horizon.
policy_set_comparison__fast_success_crypto_bull__balanced_yield_compounding,GP_SURVIVABILITY_RISK,medium,GP fee income in the early years is below the configured threshold.
policy_set_comparison__fast_success_crypto_bull__balanced_yield_compounding,REFINANCE_EVENT_OCCURRED,info,One or more configured refinance events generated proceeds.
policy_set_comparison__fast_success_crypto_bull__balanced_yield_compounding,LP_STILL_BELOW_1X_CASH_MOIC_AT_END,medium,LP cash distributions remain below 1.0x at model end.
policy_set_comparison__fast_success_crypto_bull__balanced_yield_compounding,LP_EXPERIENCE_WEAK_DESPITE_POSITIVE_NAV,medium,Fund NAV is positive but LP cash recovery remains below 1.0x.
policy_set_comparison__fast_success_crypto_bull__aggressive_lp_extinguishment,LP_HURDLE_NOT_ACHIEVED,high,LP did not reach the target cash MOIC within the model horizon.
policy_set_comparison__fast_success_crypto_bull__aggressive_lp_extinguishment,SLOW_TIME_HORIZON_DRIFT,medium,LP outcome takes a long time or does not arrive within the horizon.
policy_set_comparison__fast_success_crypto_bull__aggressive_lp_extinguishment,GP_SURVIVABILITY_RISK,medium,GP fee income in the early years is below the configured threshold.
policy_set_comparison__fast_success_crypto_bull__aggressive_lp_extinguishment,REFINANCE_EVENT_OCCURRED,info,One or more configured refinance events generated proceeds.
policy_set_comparison__fast_success_crypto_bull__aggressive_lp_extinguishment,LP_STILL_BELOW_1X_CASH_MOIC_AT_END,medium,LP cash distributions remain below 1.0x at model end.
policy_set_comparison__fast_success_crypto_bull__aggressive_lp_extinguishment,LP_EXPERIENCE_WEAK_DESPITE_POSITIVE_NAV,medium,Fund NAV is positive but LP cash recovery remains below 1.0x.
policy_set_comparison__slow_grind__backend_heavy_compounding,LP_HURDLE_ACHIEVED,info,LP reached 2.00x in year 13.
policy_set_comparison__slow_grind__backend_heavy_compounding,HURDLE_REACHED_BUT_LIQUIDITY_CONSTRAINED,high,Economic hurdle passed before available liquidity could redeem LPs.
policy_set_comparison__slow_grind__backend_heavy_compounding,SLOW_TIME_HORIZON_DRIFT,medium,LP outcome takes a long time or does not arrive within the horizon.
policy_set_comparison__slow_grind__backend_heavy_compounding,GP_SURVIVABILITY_RISK,medium,GP fee income in the early years is below the configured threshold.
policy_set_comparison__slow_grind__backend_heavy_compounding,REFINANCE_EVENT_OCCURRED,info,One or more configured refinance events generated proceeds.
policy_set_comparison__slow_grind__backend_heavy_compounding,REFI_DEPENDENT_LP_OUTCOME,medium,LP hurdle achievement depended on refinance proceeds distributed to LPs.
policy_set_comparison__slow_grind__balanced_yield_compounding,LP_HURDLE_ACHIEVED,info,LP reached 2.00x in year 14.
policy_set_comparison__slow_grind__balanced_yield_compounding,HURDLE_REACHED_BUT_LIQUIDITY_CONSTRAINED,high,Economic hurdle passed before available liquidity could redeem LPs.
policy_set_comparison__slow_grind__balanced_yield_compounding,SLOW_TIME_HORIZON_DRIFT,medium,LP outcome takes a long time or does not arrive within the horizon.
policy_set_comparison__slow_grind__balanced_yield_compounding,GP_SURVIVABILITY_RISK,medium,GP fee income in the early years is below the configured threshold.
policy_set_comparison__slow_grind__balanced_yield_compounding,REFINANCE_EVENT_OCCURRED,info,One or more configured refinance events generated proceeds.
policy_set_comparison__slow_grind__balanced_yield_compounding,REFI_DEPENDENT_LP_OUTCOME,medium,LP hurdle achievement depended on refinance proceeds distributed to LPs.
policy_set_comparison__slow_grind__balanced_yield_compounding,HF_MAJOR_DRAWDOWN,medium,Hedge fund NAV fell by more than the configured drawdown threshold.
policy_set_comparison__slow_grind__aggressive_lp_extinguishment,LP_HURDLE_NOT_ACHIEVED,high,LP did not reach the target cash MOIC within the model horizon.
policy_set_comparison__slow_grind__aggressive_lp_extinguishment,HURDLE_REACHED_BUT_LIQUIDITY_CONSTRAINED,high,Economic hurdle passed before available liquidity could redeem LPs.
policy_set_comparison__slow_grind__aggressive_lp_extinguishment,SLOW_TIME_HORIZON_DRIFT,medium,LP outcome takes a long time or does not arrive within the horizon.
policy_set_comparison__slow_grind__aggressive_lp_extinguishment,GP_SURVIVABILITY_RISK,medium,GP fee income in the early years is below the configured threshold.
policy_set_comparison__slow_grind__aggressive_lp_extinguishment,HURDLE_TRIGGER_ATTEMPTED_BUT_INSUFFICIENT,high,"Active hurdle completion trigger was eligible, but permitted funding sources were insufficient."
policy_set_comparison__slow_grind__aggressive_lp_extinguishment,REFINANCE_EVENT_OCCURRED,info,One or more configured refinance events generated proceeds.
policy_set_comparison__hedge_fund_failure_re_survival__backend_heavy_compounding,LP_HURDLE_NOT_ACHIEVED,high,LP did not reach the target cash MOIC within the model horizon.
policy_set_comparison__hedge_fund_failure_re_survival__backend_heavy_compounding,HURDLE_REACHED_BUT_LIQUIDITY_CONSTRAINED,high,Economic hurdle passed before available liquidity could redeem LPs.
policy_set_comparison__hedge_fund_failure_re_survival__backend_heavy_compounding,SLOW_TIME_HORIZON_DRIFT,medium,LP outcome takes a long time or does not arrive within the horizon.
policy_set_comparison__hedge_fund_failure_re_survival__backend_heavy_compounding,GP_SURVIVABILITY_RISK,medium,GP fee income in the early years is below the configured threshold.
policy_set_comparison__hedge_fund_failure_re_survival__backend_heavy_compounding,REFINANCE_EVENT_OCCURRED,info,One or more configured refinance events generated proceeds.
policy_set_comparison__hedge_fund_failure_re_survival__backend_heavy_compounding,LP_STILL_BELOW_1X_CASH_MOIC_AT_END,medium,LP cash distributions remain below 1.0x at model end.
policy_set_comparison__hedge_fund_failure_re_survival__backend_heavy_compounding,LP_EXPERIENCE_WEAK_DESPITE_POSITIVE_NAV,medium,Fund NAV is positive but LP cash recovery remains below 1.0x.
policy_set_comparison__hedge_fund_failure_re_survival__balanced_yield_compounding,LP_HURDLE_NOT_ACHIEVED,high,LP did not reach the target cash MOIC within the model horizon.
policy_set_comparison__hedge_fund_failure_re_survival__balanced_yield_compounding,HURDLE_REACHED_BUT_LIQUIDITY_CONSTRAINED,high,Economic hurdle passed before available liquidity could redeem LPs.
policy_set_comparison__hedge_fund_failure_re_survival__balanced_yield_compounding,SLOW_TIME_HORIZON_DRIFT,medium,LP outcome takes a long time or does not arrive within the horizon.
policy_set_comparison__hedge_fund_failure_re_survival__balanced_yield_compounding,GP_SURVIVABILITY_RISK,medium,GP fee income in the early years is below the configured threshold.
policy_set_comparison__hedge_fund_failure_re_survival__balanced_yield_compounding,REFINANCE_EVENT_OCCURRED,info,One or more configured refinance events generated proceeds.
policy_set_comparison__hedge_fund_failure_re_survival__balanced_yield_compounding,HF_MAJOR_DRAWDOWN,medium,Hedge fund NAV fell by more than the configured drawdown threshold.
policy_set_comparison__hedge_fund_failure_re_survival__balanced_yield_compounding,LP_STILL_BELOW_1X_CASH_MOIC_AT_END,medium,LP cash distributions remain below 1.0x at model end.
policy_set_comparison__hedge_fund_failure_re_survival__balanced_yield_compounding,LP_EXPERIENCE_WEAK_DESPITE_POSITIVE_NAV,medium,Fund NAV is positive but LP cash recovery remains below 1.0x.
policy_set_comparison__hedge_fund_failure_re_survival__aggressive_lp_extinguishment,LP_HURDLE_NOT_ACHIEVED,high,LP did not reach the target cash MOIC within the model horizon.
policy_set_comparison__hedge_fund_failure_re_survival__aggressive_lp_extinguishment,HURDLE_REACHED_BUT_LIQUIDITY_CONSTRAINED,high,Economic hurdle passed before available liquidity could redeem LPs.
policy_set_comparison__hedge_fund_failure_re_survival__aggressive_lp_extinguishment,SLOW_TIME_HORIZON_DRIFT,medium,LP outcome takes a long time or does not arrive within the horizon.
policy_set_comparison__hedge_fund_failure_re_survival__aggressive_lp_extinguishment,GP_SURVIVABILITY_RISK,medium,GP fee income in the early years is below the configured threshold.
policy_set_comparison__hedge_fund_failure_re_survival__aggressive_lp_extinguishment,HURDLE_TRIGGER_ATTEMPTED_BUT_INSUFFICIENT,high,"Active hurdle completion trigger was eligible, but permitted funding sources were insufficient."
policy_set_comparison__hedge_fund_failure_re_survival__aggressive_lp_extinguishment,REFINANCE_EVENT_OCCURRED,info,One or more configured refinance events generated proceeds.
policy_set_comparison__hedge_fund_failure_re_survival__aggressive_lp_extinguishment,HF_MAJOR_DRAWDOWN,medium,Hedge fund NAV fell by more than the configured drawdown threshold.
policy_set_comparison__real_estate_distress_crypto_success__backend_heavy_compounding,LP_HURDLE_NOT_ACHIEVED,high,LP did not reach the target cash MOIC within the model horizon.
policy_set_comparison__real_estate_distress_crypto_success__backend_heavy_compounding,HURDLE_REACHED_BUT_LIQUIDITY_CONSTRAINED,high,Economic hurdle passed before available liquidity could redeem LPs.
policy_set_comparison__real_estate_distress_crypto_success__backend_heavy_compounding,SLOW_TIME_HORIZON_DRIFT,medium,LP outcome takes a long time or does not arrive within the horizon.
policy_set_comparison__real_estate_distress_crypto_success__backend_heavy_compounding,GP_SURVIVABILITY_RISK,medium,GP fee income in the early years is below the configured threshold.
policy_set_comparison__real_estate_distress_crypto_success__backend_heavy_compounding,REFINANCE_EVENT_OCCURRED,info,One or more configured refinance events generated proceeds.
policy_set_comparison__real_estate_distress_crypto_success__backend_heavy_compounding,RE_NAV_IMPAIRMENT,medium,Real estate NAV fell by more than the configured impairment threshold.
policy_set_comparison__real_estate_distress_crypto_success__backend_heavy_compounding,LP_STILL_BELOW_1X_CASH_MOIC_AT_END,medium,LP cash distributions remain below 1.0x at model end.
policy_set_comparison__real_estate_distress_crypto_success__backend_heavy_compounding,LP_EXPERIENCE_WEAK_DESPITE_POSITIVE_NAV,medium,Fund NAV is positive but LP cash recovery remains below 1.0x.
policy_set_comparison__real_estate_distress_crypto_success__balanced_yield_compounding,LP_HURDLE_NOT_ACHIEVED,high,LP did not reach the target cash MOIC within the model horizon.
policy_set_comparison__real_estate_distress_crypto_success__balanced_yield_compounding,SLOW_TIME_HORIZON_DRIFT,medium,LP outcome takes a long time or does not arrive within the horizon.
policy_set_comparison__real_estate_distress_crypto_success__balanced_yield_compounding,GP_SURVIVABILITY_RISK,medium,GP fee income in the early years is below the configured threshold.
policy_set_comparison__real_estate_distress_crypto_success__balanced_yield_compounding,REFINANCE_EVENT_OCCURRED,info,One or more configured refinance events generated proceeds.
policy_set_comparison__real_estate_distress_crypto_success__balanced_yield_compounding,RE_NAV_IMPAIRMENT,medium,Real estate NAV fell by more than the configured impairment threshold.
policy_set_comparison__real_estate_distress_crypto_success__balanced_yield_compounding,LP_STILL_BELOW_1X_CASH_MOIC_AT_END,medium,LP cash distributions remain below 1.0x at model end.
policy_set_comparison__real_estate_distress_crypto_success__balanced_yield_compounding,LP_EXPERIENCE_WEAK_DESPITE_POSITIVE_NAV,medium,Fund NAV is positive but LP cash recovery remains below 1.0x.
policy_set_comparison__real_estate_distress_crypto_success__aggressive_lp_extinguishment,LP_HURDLE_NOT_ACHIEVED,high,LP did not reach the target cash MOIC within the model horizon.
policy_set_comparison__real_estate_distress_crypto_success__aggressive_lp_extinguishment,SLOW_TIME_HORIZON_DRIFT,medium,LP outcome takes a long time or does not arrive within the horizon.
policy_set_comparison__real_estate_distress_crypto_success__aggressive_lp_extinguishment,GP_SURVIVABILITY_RISK,medium,GP fee income in the early years is below the configured threshold.
policy_set_comparison__real_estate_distress_crypto_success__aggressive_lp_extinguishment,REFINANCE_EVENT_OCCURRED,info,One or more configured refinance events generated proceeds.
policy_set_comparison__real_estate_distress_crypto_success__aggressive_lp_extinguishment,RE_NAV_IMPAIRMENT,medium,Real estate NAV fell by more than the configured impairment threshold.
policy_set_comparison__real_estate_distress_crypto_success__aggressive_lp_extinguishment,LP_STILL_BELOW_1X_CASH_MOIC_AT_END,medium,LP cash distributions remain below 1.0x at model end.
policy_set_comparison__real_estate_distress_crypto_success__aggressive_lp_extinguishment,LP_EXPERIENCE_WEAK_DESPITE_POSITIVE_NAV,medium,Fund NAV is positive but LP cash recovery remains below 1.0x.
policy_set_comparison__exceptional_dynasty_outcome__backend_heavy_compounding,LP_HURDLE_ACHIEVED,info,LP reached 2.00x in year 8.
policy_set_comparison__exceptional_dynasty_outcome__backend_heavy_compounding,HURDLE_REACHED_BUT_LIQUIDITY_CONSTRAINED,high,Economic hurdle passed before available liquidity could redeem LPs.
policy_set_comparison__exceptional_dynasty_outcome__backend_heavy_compounding,SLOW_TIME_HORIZON_DRIFT,medium,LP outcome takes a long time or does not arrive within the horizon.
policy_set_comparison__exceptional_dynasty_outcome__backend_heavy_compounding,GP_SURVIVABILITY_RISK,medium,GP fee income in the early years is below the configured threshold.
policy_set_comparison__exceptional_dynasty_outcome__backend_heavy_compounding,REFINANCE_EVENT_OCCURRED,info,One or more configured refinance events generated proceeds.
policy_set_comparison__exceptional_dynasty_outcome__backend_heavy_compounding,REFI_DEPENDENT_LP_OUTCOME,medium,LP hurdle achievement depended on refinance proceeds distributed to LPs.
policy_set_comparison__exceptional_dynasty_outcome__balanced_yield_compounding,LP_HURDLE_ACHIEVED,info,LP reached 2.00x in year 8.
policy_set_comparison__exceptional_dynasty_outcome__balanced_yield_compounding,HURDLE_REACHED_BUT_LIQUIDITY_CONSTRAINED,high,Economic hurdle passed before available liquidity could redeem LPs.
policy_set_comparison__exceptional_dynasty_outcome__balanced_yield_compounding,SLOW_TIME_HORIZON_DRIFT,medium,LP outcome takes a long time or does not arrive within the horizon.
policy_set_comparison__exceptional_dynasty_outcome__balanced_yield_compounding,GP_SURVIVABILITY_RISK,medium,GP fee income in the early years is below the configured threshold.
policy_set_comparison__exceptional_dynasty_outcome__balanced_yield_compounding,REFINANCE_EVENT_OCCURRED,info,One or more configured refinance events generated proceeds.
policy_set_comparison__exceptional_dynasty_outcome__balanced_yield_compounding,REFI_DEPENDENT_LP_OUTCOME,medium,LP hurdle achievement depended on refinance proceeds distributed to LPs.
policy_set_comparison__exceptional_dynasty_outcome__balanced_yield_compounding,HF_MAJOR_DRAWDOWN,medium,Hedge fund NAV fell by more than the configured drawdown threshold.
policy_set_comparison__exceptional_dynasty_outcome__aggressive_lp_extinguishment,LP_HURDLE_ACHIEVED,info,LP reached 2.00x in year 10.
policy_set_comparison__exceptional_dynasty_outcome__aggressive_lp_extinguishment,HURDLE_REACHED_BUT_LIQUIDITY_CONSTRAINED,high,Economic hurdle passed before available liquidity could redeem LPs.
policy_set_comparison__exceptional_dynasty_outcome__aggressive_lp_extinguishment,SLOW_TIME_HORIZON_DRIFT,medium,LP outcome takes a long time or does not arrive within the horizon.
policy_set_comparison__exceptional_dynasty_outcome__aggressive_lp_extinguishment,GP_SURVIVABILITY_RISK,medium,GP fee income in the early years is below the configured threshold.
policy_set_comparison__exceptional_dynasty_outcome__aggressive_lp_extinguishment,HURDLE_COMPLETION_TRIGGER_EXECUTED,info,Active hurdle completion trigger monetized permitted sources to extinguish LPs.
policy_set_comparison__exceptional_dynasty_outcome__aggressive_lp_extinguishment,HURDLE_TRIGGER_ATTEMPTED_BUT_INSUFFICIENT,high,"Active hurdle completion trigger was eligible, but permitted funding sources were insufficient."
policy_set_comparison__exceptional_dynasty_outcome__aggressive_lp_extinguishment,LP_REDEEMED_VIA_HF_LIQUIDATION,medium,LP hurdle completion used partial hedge fund liquidation.
policy_set_comparison__exceptional_dynasty_outcome__aggressive_lp_extinguishment,REFINANCE_EVENT_OCCURRED,info,One or more configured refinance events generated proceeds.
policy_set_comparison__exceptional_dynasty_outcome__aggressive_lp_extinguishment,REFI_DEPENDENT_LP_OUTCOME,medium,LP hurdle achievement depended on refinance proceeds distributed to LPs.
policy_set_comparison__liquidity_trap__backend_heavy_compounding,LP_HURDLE_ACHIEVED,info,LP reached 2.00x in year 10.
policy_set_comparison__liquidity_trap__backend_heavy_compounding,HURDLE_REACHED_BUT_LIQUIDITY_CONSTRAINED,high,Economic hurdle passed before available liquidity could redeem LPs.
policy_set_comparison__liquidity_trap__backend_heavy_compounding,SLOW_TIME_HORIZON_DRIFT,medium,LP outcome takes a long time or does not arrive within the horizon.
policy_set_comparison__liquidity_trap__backend_heavy_compounding,GP_SURVIVABILITY_RISK,medium,GP fee income in the early years is below the configured threshold.
policy_set_comparison__liquidity_trap__backend_heavy_compounding,REFINANCE_EVENT_OCCURRED,info,One or more configured refinance events generated proceeds.
policy_set_comparison__liquidity_trap__backend_heavy_compounding,REFI_DEPENDENT_LP_OUTCOME,medium,LP hurdle achievement depended on refinance proceeds distributed to LPs.
policy_set_comparison__liquidity_trap__balanced_yield_compounding,LP_HURDLE_NOT_ACHIEVED,high,LP did not reach the target cash MOIC within the model horizon.
policy_set_comparison__liquidity_trap__balanced_yield_compounding,HURDLE_REACHED_BUT_LIQUIDITY_CONSTRAINED,high,Economic hurdle passed before available liquidity could redeem LPs.
policy_set_comparison__liquidity_trap__balanced_yield_compounding,SLOW_TIME_HORIZON_DRIFT,medium,LP outcome takes a long time or does not arrive within the horizon.
policy_set_comparison__liquidity_trap__balanced_yield_compounding,GP_SURVIVABILITY_RISK,medium,GP fee income in the early years is below the configured threshold.
policy_set_comparison__liquidity_trap__balanced_yield_compounding,REFINANCE_EVENT_OCCURRED,info,One or more configured refinance events generated proceeds.
policy_set_comparison__liquidity_trap__balanced_yield_compounding,LP_STILL_BELOW_1X_CASH_MOIC_AT_END,medium,LP cash distributions remain below 1.0x at model end.
policy_set_comparison__liquidity_trap__balanced_yield_compounding,LP_EXPERIENCE_WEAK_DESPITE_POSITIVE_NAV,medium,Fund NAV is positive but LP cash recovery remains below 1.0x.
policy_set_comparison__liquidity_trap__aggressive_lp_extinguishment,LP_HURDLE_NOT_ACHIEVED,high,LP did not reach the target cash MOIC within the model horizon.
policy_set_comparison__liquidity_trap__aggressive_lp_extinguishment,HURDLE_REACHED_BUT_LIQUIDITY_CONSTRAINED,high,Economic hurdle passed before available liquidity could redeem LPs.
policy_set_comparison__liquidity_trap__aggressive_lp_extinguishment,SLOW_TIME_HORIZON_DRIFT,medium,LP outcome takes a long time or does not arrive within the horizon.
policy_set_comparison__liquidity_trap__aggressive_lp_extinguishment,GP_SURVIVABILITY_RISK,medium,GP fee income in the early years is below the configured threshold.
policy_set_comparison__liquidity_trap__aggressive_lp_extinguishment,HURDLE_TRIGGER_ATTEMPTED_BUT_INSUFFICIENT,high,"Active hurdle completion trigger was eligible, but permitted funding sources were insufficient."
policy_set_comparison__liquidity_trap__aggressive_lp_extinguishment,REFINANCE_EVENT_OCCURRED,info,One or more configured refinance events generated proceeds.
policy_set_comparison__failure_never_reaches_hurdle__backend_heavy_compounding,LP_HURDLE_NOT_ACHIEVED,high,LP did not reach the target cash MOIC within the model horizon.
policy_set_comparison__failure_never_reaches_hurdle__backend_heavy_compounding,SLOW_TIME_HORIZON_DRIFT,medium,LP outcome takes a long time or does not arrive within the horizon.
policy_set_comparison__failure_never_reaches_hurdle__backend_heavy_compounding,GP_SURVIVABILITY_RISK,medium,GP fee income in the early years is below the configured threshold.
policy_set_comparison__failure_never_reaches_hurdle__backend_heavy_compounding,REFINANCE_EVENT_OCCURRED,info,One or more configured refinance events generated proceeds.
policy_set_comparison__failure_never_reaches_hurdle__backend_heavy_compounding,LP_STILL_BELOW_1X_CASH_MOIC_AT_END,medium,LP cash distributions remain below 1.0x at model end.
policy_set_comparison__failure_never_reaches_hurdle__backend_heavy_compounding,LP_EXPERIENCE_WEAK_DESPITE_POSITIVE_NAV,medium,Fund NAV is positive but LP cash recovery remains below 1.0x.
policy_set_comparison__failure_never_reaches_hurdle__balanced_yield_compounding,LP_HURDLE_NOT_ACHIEVED,high,LP did not reach the target cash MOIC within the model horizon.
policy_set_comparison__failure_never_reaches_hurdle__balanced_yield_compounding,SLOW_TIME_HORIZON_DRIFT,medium,LP outcome takes a long time or does not arrive within the horizon.
policy_set_comparison__failure_never_reaches_hurdle__balanced_yield_compounding,GP_SURVIVABILITY_RISK,medium,GP fee income in the early years is below the configured threshold.
policy_set_comparison__failure_never_reaches_hurdle__balanced_yield_compounding,REFINANCE_EVENT_OCCURRED,info,One or more configured refinance events generated proceeds.
policy_set_comparison__failure_never_reaches_hurdle__balanced_yield_compounding,LP_STILL_BELOW_1X_CASH_MOIC_AT_END,medium,LP cash distributions remain below 1.0x at model end.
policy_set_comparison__failure_never_reaches_hurdle__balanced_yield_compounding,LP_EXPERIENCE_WEAK_DESPITE_POSITIVE_NAV,medium,Fund NAV is positive but LP cash recovery remains below 1.0x.
policy_set_comparison__failure_never_reaches_hurdle__aggressive_lp_extinguishment,LP_HURDLE_NOT_ACHIEVED,high,LP did not reach the target cash MOIC within the model horizon.
policy_set_comparison__failure_never_reaches_hurdle__aggressive_lp_extinguishment,SLOW_TIME_HORIZON_DRIFT,medium,LP outcome takes a long time or does not arrive within the horizon.
policy_set_comparison__failure_never_reaches_hurdle__aggressive_lp_extinguishment,GP_SURVIVABILITY_RISK,medium,GP fee income in the early years is below the configured threshold.
policy_set_comparison__failure_never_reaches_hurdle__aggressive_lp_extinguishment,REFINANCE_EVENT_OCCURRED,info,One or more configured refinance events generated proceeds.
policy_set_comparison__failure_never_reaches_hurdle__aggressive_lp_extinguishment,LP_STILL_BELOW_1X_CASH_MOIC_AT_END,medium,LP cash distributions remain below 1.0x at model end.
policy_set_comparison__failure_never_reaches_hurdle__aggressive_lp_extinguishment,LP_EXPERIENCE_WEAK_DESPITE_POSITIVE_NAV,medium,Fund NAV is positive but LP cash recovery remains below 1.0x.
lp_distribution_strategy_sweep__base_hit_everyone_happy__lp_distribution_20,LP_HURDLE_NOT_ACHIEVED,high,LP did not reach the target cash MOIC within the model horizon.
lp_distribution_strategy_sweep__base_hit_everyone_happy__lp_distribution_20,HURDLE_REACHED_BUT_LIQUIDITY_CONSTRAINED,high,Economic hurdle passed before available liquidity could redeem LPs.
lp_distribution_strategy_sweep__base_hit_everyone_happy__lp_distribution_20,SLOW_TIME_HORIZON_DRIFT,medium,LP outcome takes a long time or does not arrive within the horizon.
lp_distribution_strategy_sweep__base_hit_everyone_happy__lp_distribution_20,GP_SURVIVABILITY_RISK,medium,GP fee income in the early years is below the configured threshold.
lp_distribution_strategy_sweep__base_hit_everyone_happy__lp_distribution_20,HURDLE_TRIGGER_ATTEMPTED_BUT_INSUFFICIENT,high,"Active hurdle completion trigger was eligible, but permitted funding sources were insufficient."
lp_distribution_strategy_sweep__base_hit_everyone_happy__lp_distribution_20,LP_STILL_BELOW_1X_CASH_MOIC_AT_END,medium,LP cash distributions remain below 1.0x at model end.
lp_distribution_strategy_sweep__base_hit_everyone_happy__lp_distribution_20,LP_EXPERIENCE_WEAK_DESPITE_POSITIVE_NAV,medium,Fund NAV is positive but LP cash recovery remains below 1.0x.
lp_distribution_strategy_sweep__base_hit_everyone_happy__lp_distribution_30,LP_HURDLE_NOT_ACHIEVED,high,LP did not reach the target cash MOIC within the model horizon.
lp_distribution_strategy_sweep__base_hit_everyone_happy__lp_distribution_30,HURDLE_REACHED_BUT_LIQUIDITY_CONSTRAINED,high,Economic hurdle passed before available liquidity could redeem LPs.
