scenario,description,real_estate_mode,lp_initial_capital,initial_re_cash_deployed,initial_re_gross_asset_value,initial_re_debt_balance,initial_re_assumed_liabilities,initial_re_net_equity_value,initial_re_entry_equity_cushion,initial_re_value_to_new_equity_multiple,final_re_gross_asset_value,final_re_debt_balance,final_re_assumed_liabilities,final_re_net_equity_value,final_re_dscr,total_re_debt_service,total_re_capex,total_deal_refi_proceeds,total_re_cashflow_shortfall,total_acquisition_equity_required,total_acquisition_funded_from_retained_cash,total_acquisition_funded_from_reserve,total_acquisition_failed_loss,total_acquisition_unfunded_shortfall,years_modelled,lp_hurdle_moic,lp_hurdle_amount,lp_cash_distributions,lp_cash_moic,lp_economic_moic,lp_irr,lp_cash_irr,lp_economic_irr,gp_cash_irr_if_co_investment,gp_total_value_multiple_if_co_investment,lp_hurdle_achieved,year_hurdle_achieved,liquidity_constrained,final_fund_nav,final_refinance_liability,gp_cumulative_fees,gp_residual_nav,gp_total_economics,gp_residual_nav_pct_initial_lp_capital,gp_total_economics_pct_initial_lp_capital,gp_cumulative_fees_first_n_years,gp_average_annual_fees_first_n_years,gp_survivability_risk,years_with_zero_lp_distribution,years_with_distribution_below_target_yield,longest_zero_distribution_streak,longest_below_target_yield_streak,years_until_first_distribution,lp_time_under_1x_cash_moic,lp_time_under_1x_economic_moic,lp_final_unrecovered_hurdle,lp_redeemed_by_model_end,total_re_cashflow_generated,total_hf_harvest_generated,total_reinvested_into_hf,total_distributed_to_lp,total_added_to_reserve,pct_total_cash_distributed,pct_total_cash_reinvested,pct_total_cash_reserved,years_until_lp_1x_cash_return,years_until_lp_2x_cash_return,lp_cashflow_profile_type,hurdle_completion_trigger_enabled,backend_liquidity_strategy_enabled,backend_liquidity_target_years,backend_liquidity_refi_first,backend_liquidity_max_refi_pct_of_re_nav,backend_liquidity_max_hf_liquidation_pct,hurdle_trigger_executed,hurdle_trigger_year,total_trigger_cash_from_retained_cash,total_trigger_cash_from_reserve,total_trigger_cash_from_hf_liquidation,total_trigger_cash_from_refi,total_trigger_cash_from_re_sale,lp_hurdle_shortfall_after_final_trigger,primary_flag,all_flags
policy_set_comparison__hedge_fund_failure_re_survival__balanced_yield_compounding,"Compares three high-level LP distribution and liquidity engineering policies: backend-heavy compounding, balanced yield plus compounding, and aggressive LP extinguishment. | Hedge fund sleeve suffers major impairment, while real estate survives and cash-flows. | Moderate LP cash payout, some HF reinvestment, reserve build, active trigger, and planned refinance.",top_down,10000000.0,8500000.0,8500000.0,0.0,0.0,8500000.0,0.0,,13588526.578017911,0.0,0.0,13588526.578017911,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,2.0,20000000.0,20000000.0,2.0,2.0,0.0544035036283248,0.0544035036283248,0.0544035036283248,,,True,19.0,True,14341859.295109032,1923393.9619140625,671685.5082983661,14341859.295109032,15013544.803407397,1.4341859295109032,1.5013544803407397,147440.01486328125,29488.00297265625,True,0,0,0,0,1,17,0,0.0,True,17947958.453867752,1050970.631611683,5804775.788804999,20000000.0,3694688.7539347187,1.052690912736006,0.3055317361672502,0.19446826383274982,18.0,19.0,MODERATE_YIELD,True,True,"5, 7, 10",True,0.35,0.5,True,19.0,0.0,4194688.753934719,4382452.7414115,0.0,0.0,0.0,HURDLE_COMPLETION_TRIGGER_EXECUTED,LP_HURDLE_ACHIEVED; HURDLE_REACHED_BUT_LIQUIDITY_CONSTRAINED; SLOW_TIME_HORIZON_DRIFT; GP_SURVIVABILITY_RISK; HURDLE_COMPLETION_TRIGGER_EXECUTED; LP_REDEEMED_VIA_HF_LIQUIDATION; REFINANCE_EVENT_OCCURRED; REFI_DEPENDENT_LP_OUTCOME; HF_MAJOR_DRAWDOWN
policy_set_comparison__hedge_fund_failure_re_survival__aggressive_lp_extinguishment,"Compares three high-level LP distribution and liquidity engineering policies: backend-heavy compounding, balanced yield plus compounding, and aggressive LP extinguishment. | Hedge fund sleeve suffers major impairment, while real estate survives and cash-flows. | High LP cash routing, larger HF harvest, active trigger, and earlier recap/refi event.",top_down,10000000.0,8500000.0,8500000.0,0.0,0.0,8500000.0,0.0,,13257099.10050528,0.0,0.0,13257099.10050528,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,2.0,20000000.0,20000000.0,2.0,2.0,0.07007157224072547,0.07007157224072547,0.07007157224072547,,,True,18.0,True,11487805.552467737,2522319.437302161,627937.0812666987,11487805.552467737,12115742.633734437,1.1487805552467738,1.2115742633734436,147440.01486328125,29488.00297265625,True,0,0,0,0,1,11,0,0.0,True,16571626.72759616,703022.4182747235,2556046.2509668963,20000000.0,863732.4572935442,1.157765916466127,0.14796516151402483,0.05,12.0,18.0,MODERATE_YIELD,True,True,"5, 7, 10",True,0.35,0.5,True,18.0,0.0,1363732.4572935442,2259077.667793853,176717.044724036,0.0,0.0,HURDLE_COMPLETION_TRIGGER_EXECUTED,LP_HURDLE_ACHIEVED; HURDLE_REACHED_BUT_LIQUIDITY_CONSTRAINED; SLOW_TIME_HORIZON_DRIFT; GP_SURVIVABILITY_RISK; HURDLE_COMPLETION_TRIGGER_EXECUTED; HURDLE_TRIGGER_ATTEMPTED_BUT_INSUFFICIENT; LP_REDEEMED_VIA_HF_LIQUIDATION; LP_REDEEMED_VIA_REFI; REFINANCE_EVENT_OCCURRED; REFI_DEPENDENT_LP_OUTCOME; HF_MAJOR_DRAWDOWN
policy_set_comparison__real_estate_distress_crypto_success__backend_heavy_compounding,"Compares three high-level LP distribution and liquidity engineering policies: backend-heavy compounding, balanced yield plus compounding, and aggressive LP extinguishment. | Real estate underperforms while hedge fund returns are strong; tests whether liquid gains can offset property stress. | Low interim LP distributions, high HF reinvestment, conservative active trigger, and a later planned refinance.",top_down,10000000.0,8500000.0,8500000.0,0.0,0.0,8500000.0,0.0,,4622251.914877349,0.0,0.0,4622251.914877349,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,2.0,20000000.0,7954937.9733264595,0.7954937973326459,2.0,-0.0162713918834706,-0.0162713918834706,0.041734153596575396,,,False,,True,120250582.23642242,1094885.8827675,310219.8468098118,0.0,310219.8468098118,0.0,0.031021984680981177,96060.862524,19212.1725048,True,0,0,0,0,1,20,0,12045062.02667354,False,5039257.838769224,29261002.614025574,23506256.533079438,7954937.9733264595,3933951.8291564025,0.23192062883237635,0.6853083977432055,0.1146916022567946,,,MODERATE_YIELD,True,True,"5, 7, 10",True,0.35,0.5,False,,0.0,0.0,0.0,0.0,0.0,0.0,HURDLE_REACHED_BUT_LIQUIDITY_CONSTRAINED,LP_HURDLE_NOT_ACHIEVED; HURDLE_REACHED_BUT_LIQUIDITY_CONSTRAINED; SLOW_TIME_HORIZON_DRIFT; GP_SURVIVABILITY_RISK; REFINANCE_EVENT_OCCURRED; RE_NAV_IMPAIRMENT; LP_STILL_BELOW_1X_CASH_MOIC_AT_END; LP_EXPERIENCE_WEAK_DESPITE_POSITIVE_NAV
policy_set_comparison__real_estate_distress_crypto_success__balanced_yield_compounding,"Compares three high-level LP distribution and liquidity engineering policies: backend-heavy compounding, balanced yield plus compounding, and aggressive LP extinguishment. | Real estate underperforms while hedge fund returns are strong; tests whether liquid gains can offset property stress. | Moderate LP cash payout, some HF reinvestment, reserve build, active trigger, and planned refinance.",top_down,10000000.0,8500000.0,8500000.0,0.0,0.0,8500000.0,0.0,,5064521.372799841,0.0,0.0,5064521.372799841,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,2.0,20000000.0,20000000.0,2.0,2.0,0.056210069529246676,0.056210069529246676,0.056210069529246676,,,True,17.0,True,21214236.966569114,1459847.84369,274838.29017601244,21214236.966569114,21489075.256745126,2.1214236966569113,2.1489075256745127,96060.862524,19212.1725048,True,0,0,0,0,1,16,0,0.0,True,4520887.859629849,15064413.86706971,7382031.904716838,20000000.0,2410618.958632941,1.021173953768356,0.3769169353491921,0.12308306465080786,17.0,17.0,BACKEND_HEAVY,True,True,"5, 7, 10",True,0.35,0.5,True,17.0,0.0,2910618.9586329404,5836882.334327279,0.0,0.0,0.0,HURDLE_COMPLETION_TRIGGER_EXECUTED,LP_HURDLE_ACHIEVED; HURDLE_REACHED_BUT_LIQUIDITY_CONSTRAINED; SLOW_TIME_HORIZON_DRIFT; GP_SURVIVABILITY_RISK; HURDLE_COMPLETION_TRIGGER_EXECUTED; LP_REDEEMED_VIA_HF_LIQUIDATION; REFINANCE_EVENT_OCCURRED; REFI_DEPENDENT_LP_OUTCOME; RE_NAV_IMPAIRMENT
policy_set_comparison__real_estate_distress_crypto_success__aggressive_lp_extinguishment,"Compares three high-level LP distribution and liquidity engineering policies: backend-heavy compounding, balanced yield plus compounding, and aggressive LP extinguishment. | Real estate underperforms while hedge fund returns are strong; tests whether liquid gains can offset property stress. | High LP cash routing, larger HF harvest, active trigger, and earlier recap/refi event.",top_down,10000000.0,8500000.0,8500000.0,0.0,0.0,8500000.0,0.0,,4765208.15966737,0.0,0.0,4765208.15966737,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,2.0,20000000.0,20000000.0,2.0,2.0,0.06328985948701682,0.06328985948701682,0.06328985948701682,,,True,19.0,True,5279330.369655084,1881247.22125,298783.34722661006,5279330.369655084,5578113.716881694,0.5279330369655084,0.5578113716881694,96060.862524,19212.1725048,True,0,0,0,0,1,13,0,0.0,True,4873535.392312113,10605440.113256702,1791574.3201724868,20000000.0,773948.7752784408,1.292075175957522,0.11574243524889219,0.05,14.0,19.0,MODERATE_YIELD,True,True,"5, 7, 10",True,0.35,0.5,True,19.0,0.0,1273948.775278441,3931351.5933536747,0.0,0.0,0.0,HURDLE_COMPLETION_TRIGGER_EXECUTED,LP_HURDLE_ACHIEVED; HURDLE_REACHED_BUT_LIQUIDITY_CONSTRAINED; SLOW_TIME_HORIZON_DRIFT; GP_SURVIVABILITY_RISK; HURDLE_COMPLETION_TRIGGER_EXECUTED; HURDLE_TRIGGER_ATTEMPTED_BUT_INSUFFICIENT; LP_REDEEMED_VIA_HF_LIQUIDATION; REFINANCE_EVENT_OCCURRED; REFI_DEPENDENT_LP_OUTCOME; RE_NAV_IMPAIRMENT
policy_set_comparison__exceptional_dynasty_outcome__backend_heavy_compounding,"Compares three high-level LP distribution and liquidity engineering policies: backend-heavy compounding, balanced yield plus compounding, and aggressive LP extinguishment. | Both sleeves perform strongly; tests the upper-end residual asset outcome after LP cash extinguishment. | Low interim LP distributions, high HF reinvestment, conservative active trigger, and a later planned refinance.",top_down,10000000.0,8500000.0,8500000.0,0.0,0.0,8500000.0,0.0,,31450153.46580735,0.0,0.0,31450153.46580735,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,2.0,20000000.0,20000000.0,2.0,2.0,0.05648377574143715,0.05648377574143715,0.05648377574143715,,,True,17.0,True,122812495.93803331,1873393.29792,1118819.9814581072,122812495.93803331,123931315.91949143,12.28124959380333,12.393131591949142,194477.821824,38895.564364800004,True,0,0,0,0,1,15,0,0.0,True,35283374.89935529,18644741.893217668,34221344.26486554,20000000.0,8921149.169192825,0.37086405366104724,0.6345733227899132,0.16542667721008672,16.0,17.0,BACKEND_HEAVY,True,True,"5, 7, 10",True,0.35,0.5,True,17.0,0.0,7340983.343565412,0.0,0.0,0.0,0.0,HURDLE_COMPLETION_TRIGGER_EXECUTED,LP_HURDLE_ACHIEVED; HURDLE_REACHED_BUT_LIQUIDITY_CONSTRAINED; SLOW_TIME_HORIZON_DRIFT; GP_SURVIVABILITY_RISK; HURDLE_COMPLETION_TRIGGER_EXECUTED; REFINANCE_EVENT_OCCURRED; REFI_DEPENDENT_LP_OUTCOME
policy_set_comparison__exceptional_dynasty_outcome__balanced_yield_compounding,"Compares three high-level LP distribution and liquidity engineering policies: backend-heavy compounding, balanced yield plus compounding, and aggressive LP extinguishment. | Both sleeves perform strongly; tests the upper-end residual asset outcome after LP cash extinguishment. | Moderate LP cash payout, some HF reinvestment, reserve build, active trigger, and planned refinance.",top_down,10000000.0,8500000.0,8500000.0,0.0,0.0,8500000.0,0.0,,19818931.474964194,0.0,0.0,19818931.474964194,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,2.0,20000000.0,20000000.0,2.0,2.0,0.09218144272154372,0.09218144272154372,0.09218144272154372,,,True,11.0,True,27207092.11096241,2497857.7305600005,551797.909404504,27207092.11096241,27758890.020366915,2.7207092110962408,2.7758890020366915,194477.821824,38895.564364800004,True,0,0,0,0,1,9,0,0.0,True,14633903.61926397,5627128.508367119,6641022.489126038,20000000.0,3489493.574689506,0.9871165434225285,0.3277731582128685,0.1722268417871314,10.0,11.0,AGGRESSIVE_DISTRIBUTION,True,True,"5, 7, 10",True,0.35,0.5,True,11.0,0.0,3989493.574689506,3382132.630934944,0.0,0.0,0.0,HURDLE_COMPLETION_TRIGGER_EXECUTED,LP_HURDLE_ACHIEVED; HURDLE_REACHED_BUT_LIQUIDITY_CONSTRAINED; SLOW_TIME_HORIZON_DRIFT; GP_SURVIVABILITY_RISK; HURDLE_COMPLETION_TRIGGER_EXECUTED; LP_REDEEMED_VIA_HF_LIQUIDATION; REFINANCE_EVENT_OCCURRED; REFI_DEPENDENT_LP_OUTCOME
policy_set_comparison__exceptional_dynasty_outcome__aggressive_lp_extinguishment,"Compares three high-level LP distribution and liquidity engineering policies: backend-heavy compounding, balanced yield plus compounding, and aggressive LP extinguishment. | Both sleeves perform strongly; tests the upper-end residual asset outcome after LP cash extinguishment. | High LP cash routing, larger HF harvest, active trigger, and earlier recap/refi event.",top_down,10000000.0,8500000.0,8500000.0,0.0,0.0,8500000.0,0.0,,18350862.476818696,0.0,0.0,18350862.476818696,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,2.0,20000000.0,20000000.0,2.0,2.0,0.11952599791952556,0.11952599791952556,0.11952599791952556,,,True,10.0,True,17384756.501252607,6422801.866886543,480229.54574491107,17384756.501252607,17864986.046997517,1.7384756501252607,1.7864986046997517,194477.821824,38895.564364800004,True,0,0,0,0,1,6,0,0.0,True,12396552.442029726,3853006.186803139,2244783.4849847727,20000000.0,812477.9314416432,1.2308026609727376,0.13814427433134568,0.049999999999999996,7.0,10.0,AGGRESSIVE_DISTRIBUTION,True,True,"5, 7, 10",True,0.35,0.5,True,10.0,0.0,384900.92070701066,0.0,3531762.826886543,0.0,0.0,HURDLE_COMPLETION_TRIGGER_EXECUTED,LP_HURDLE_ACHIEVED; HURDLE_REACHED_BUT_LIQUIDITY_CONSTRAINED; SLOW_TIME_HORIZON_DRIFT; GP_SURVIVABILITY_RISK; HURDLE_COMPLETION_TRIGGER_EXECUTED; HURDLE_TRIGGER_ATTEMPTED_BUT_INSUFFICIENT; LP_REDEEMED_VIA_REFI; REFINANCE_EVENT_OCCURRED; REFI_DEPENDENT_LP_OUTCOME
policy_set_comparison__liquidity_trap__backend_heavy_compounding,"Compares three high-level LP distribution and liquidity engineering policies: backend-heavy compounding, balanced yield plus compounding, and aggressive LP extinguishment. | High real estate NAV growth with low refinance capacity; tests the gap between paper value and LP cash liquidity. | Low interim LP distributions, high HF reinvestment, conservative active trigger, and a later planned refinance.",top_down,10000000.0,8500000.0,8500000.0,0.0,0.0,8500000.0,0.0,,32892317.931132555,0.0,0.0,32892317.931132555,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,2.0,20000000.0,9433936.984450275,0.9433936984450275,2.0,-0.004899278253139294,-0.004899278253139294,0.04630950379384857,,,False,,True,76615565.1841698,1788253.4566425004,1149923.5596105338,0.0,1149923.5596105338,0.0,0.11499235596105338,161308.2292305,32261.6458461,True,0,0,0,0,1,20,0,10566063.015549725,False,33752162.10622266,4476255.532816211,23384676.136704944,9433936.984450275,7198057.974526154,0.24677811866364924,0.6117092357185223,0.18829076428147776,,,MODERATE_YIELD,True,True,"5, 7, 10",True,0.35,0.5,False,,0.0,0.0,0.0,0.0,0.0,0.0,HURDLE_REACHED_BUT_LIQUIDITY_CONSTRAINED,LP_HURDLE_NOT_ACHIEVED; HURDLE_REACHED_BUT_LIQUIDITY_CONSTRAINED; SLOW_TIME_HORIZON_DRIFT; GP_SURVIVABILITY_RISK; REFINANCE_EVENT_OCCURRED; LP_STILL_BELOW_1X_CASH_MOIC_AT_END; LP_EXPERIENCE_WEAK_DESPITE_POSITIVE_NAV
policy_set_comparison__liquidity_trap__balanced_yield_compounding,"Compares three high-level LP distribution and liquidity engineering policies: backend-heavy compounding, balanced yield plus compounding, and aggressive LP extinguishment. | High real estate NAV growth with low refinance capacity; tests the gap between paper value and LP cash liquidity. | Moderate LP cash payout, some HF reinvestment, reserve build, active trigger, and planned refinance.",top_down,10000000.0,8500000.0,8500000.0,0.0,0.0,8500000.0,0.0,,20483682.5015987,0.0,0.0,20483682.5015987,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,2.0,20000000.0,20000000.0,2.0,2.0,0.07641030090419654,0.07641030090419654,0.07641030090419654,,,True,13.0,True,22563052.382753592,2384337.9421900003,564945.032218224,22563052.382753592,23127997.414971817,2.2563052382753592,2.312799741497182,161308.2292305,32261.6458461,True,0,0,0,0,1,11,0,0.0,True,14231024.439343866,3174172.7209055126,5538976.420165365,20000000.0,3163622.1599593246,1.1490820710538532,0.31823692482010374,0.18176307517989626,12.0,13.0,BACKEND_HEAVY,True,True,"5, 7, 10",True,0.35,0.5,True,13.0,0.0,3663622.159959324,5249441.317725986,0.0,0.0,0.0,HURDLE_COMPLETION_TRIGGER_EXECUTED,LP_HURDLE_ACHIEVED; HURDLE_REACHED_BUT_LIQUIDITY_CONSTRAINED; SLOW_TIME_HORIZON_DRIFT; GP_SURVIVABILITY_RISK; HURDLE_COMPLETION_TRIGGER_EXECUTED; LP_REDEEMED_VIA_HF_LIQUIDATION; REFINANCE_EVENT_OCCURRED; REFI_DEPENDENT_LP_OUTCOME
policy_set_comparison__liquidity_trap__aggressive_lp_extinguishment,"Compares three high-level LP distribution and liquidity engineering policies: backend-heavy compounding, balanced yield plus compounding, and aggressive LP extinguishment. | High real estate NAV growth with low refinance capacity; tests the gap between paper value and LP cash liquidity. | High LP cash routing, larger HF harvest, active trigger, and earlier recap/refi event.",top_down,10000000.0,8500000.0,8500000.0,0.0,0.0,8500000.0,0.0,,19143628.50616701,0.0,0.0,19143628.50616701,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,2.0,20000000.0,20000000.0,2.0,2.0,0.09689691295411129,0.09689691295411129,0.09689691295411129,,,True,12.0,True,16605972.343201688,3542814.019204011,501771.05814787286,16605972.343201688,17107743.40134956,1.6605972343201687,1.710774340134956,161308.2292305,32261.6458461,True,0,0,0,0,1,8,0,0.0,True,12383601.840465764,2684056.497426686,2125945.925812533,20000000.0,753382.9168946225,1.3273462638652749,0.14109331909034342,0.049999999999999996,9.0,12.0,AGGRESSIVE_DISTRIBUTION,True,True,"5, 7, 10",True,0.35,0.5,True,12.0,0.0,1253382.9168946224,3015473.5687160715,757372.497954011,0.0,0.0,HURDLE_COMPLETION_TRIGGER_EXECUTED,LP_HURDLE_ACHIEVED; HURDLE_REACHED_BUT_LIQUIDITY_CONSTRAINED; SLOW_TIME_HORIZON_DRIFT; GP_SURVIVABILITY_RISK; HURDLE_COMPLETION_TRIGGER_EXECUTED; HURDLE_TRIGGER_ATTEMPTED_BUT_INSUFFICIENT; LP_REDEEMED_VIA_HF_LIQUIDATION; LP_REDEEMED_VIA_REFI; REFINANCE_EVENT_OCCURRED; REFI_DEPENDENT_LP_OUTCOME
policy_set_comparison__failure_never_reaches_hurdle__backend_heavy_compounding,"Compares three high-level LP distribution and liquidity engineering policies: backend-heavy compounding, balanced yield plus compounding, and aggressive LP extinguishment. | Both sleeves disappoint; LP never reaches 2.0x. | Low interim LP distributions, high HF reinvestment, conservative active trigger, and a later planned refinance.",top_down,10000000.0,8500000.0,8500000.0,0.0,0.0,8500000.0,0.0,,6952208.969576462,0.0,0.0,6952208.969576462,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,2.0,20000000.0,3038115.647218529,0.3038115647218529,2.0,-0.10744507782606239,-0.10744507782606239,0.03969463357054259,,,False,,True,21432256.66670878,1212512.3136225,371469.8473016491,0.0,371469.8473016491,0.0,0.03714698473016491,99980.29820399999,19996.0596408,True,0,0,0,0,1,20,0,16961884.35278147,False,6593589.789604268,2534426.8783758776,5730252.688625676,3038115.647218529,1572160.6457584419,0.33283414762769115,0.6277653620776823,0.17223463792231777,,,MODERATE_YIELD,True,True,"5, 7, 10",True,0.35,0.5,False,,0.0,0.0,0.0,0.0,0.0,0.0,HURDLE_REACHED_BUT_LIQUIDITY_CONSTRAINED,LP_HURDLE_NOT_ACHIEVED; HURDLE_REACHED_BUT_LIQUIDITY_CONSTRAINED; SLOW_TIME_HORIZON_DRIFT; GP_SURVIVABILITY_RISK; REFINANCE_EVENT_OCCURRED; LP_STILL_BELOW_1X_CASH_MOIC_AT_END; LP_EXPERIENCE_WEAK_DESPITE_POSITIVE_NAV
policy_set_comparison__failure_never_reaches_hurdle__balanced_yield_compounding,"Compares three high-level LP distribution and liquidity engineering policies: backend-heavy compounding, balanced yield plus compounding, and aggressive LP extinguishment. | Both sleeves disappoint; LP never reaches 2.0x. | Moderate LP cash payout, some HF reinvestment, reserve build, active trigger, and planned refinance.",top_down,10000000.0,8500000.0,8500000.0,0.0,0.0,8500000.0,0.0,,6952208.969576462,0.0,0.0,6952208.969576462,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,2.0,20000000.0,6328510.942505956,0.6328510942505956,2.0,-0.04403114008095943,-0.04403114008095943,0.04476227287720613,,,False,,True,13866883.565608155,1616683.08483,371469.8473016491,0.0,371469.8473016491,0.0,0.03714698473016491,99980.29820399999,19996.0596408,True,0,0,0,0,1,20,0,13671489.057494044,False,6593589.789604268,2830065.9257476386,3110103.3071803357,6328510.942505956,1601724.5504956178,0.6715558307373533,0.3300315080604784,0.16996849193952168,,,MODERATE_YIELD,True,True,"5, 7, 10",True,0.35,0.5,False,,0.0,0.0,0.0,0.0,0.0,0.0,HURDLE_REACHED_BUT_LIQUIDITY_CONSTRAINED,LP_HURDLE_NOT_ACHIEVED; HURDLE_REACHED_BUT_LIQUIDITY_CONSTRAINED; SLOW_TIME_HORIZON_DRIFT; GP_SURVIVABILITY_RISK; REFINANCE_EVENT_OCCURRED; LP_STILL_BELOW_1X_CASH_MOIC_AT_END; LP_EXPERIENCE_WEAK_DESPITE_POSITIVE_NAV
policy_set_comparison__failure_never_reaches_hurdle__aggressive_lp_extinguishment,"Compares three high-level LP distribution and liquidity engineering policies: backend-heavy compounding, balanced yield plus compounding, and aggressive LP extinguishment. | Both sleeves disappoint; LP never reaches 2.0x. | High LP cash routing, larger HF harvest, active trigger, and earlier recap/refi event.",top_down,10000000.0,8500000.0,8500000.0,0.0,0.0,8500000.0,0.0,,6952208.969576462,0.0,0.0,6952208.969576462,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,2.0,20000000.0,9278706.660496376,0.9278706660496376,1.7739268422593228,-0.008043022191995375,-0.008043022191995375,0.04416699639137733,,,False,,False,8460561.762096852,2041266.52125,371469.8473016491,0.0,371469.8473016491,0.0,0.03714698473016491,99980.29820399999,19996.0596408,True,0,0,0,0,1,20,0,10721293.339503624,False,6593589.789604268,2308903.891250542,1219928.8575656945,9278706.660496376,445124.6840427406,1.0422592807283455,0.13703226323981596,0.05000000000000001,,,MODERATE_YIELD,True,True,"5, 7, 10",True,0.35,0.5,False,,0.0,0.0,0.0,0.0,0.0,0.0,LP_HURDLE_NOT_ACHIEVED,LP_HURDLE_NOT_ACHIEVED; SLOW_TIME_HORIZON_DRIFT; GP_SURVIVABILITY_RISK; REFINANCE_EVENT_OCCURRED; LP_STILL_BELOW_1X_CASH_MOIC_AT_END; LP_EXPERIENCE_WEAK_DESPITE_POSITIVE_NAV
lp_distribution_strategy_sweep__base_hit_everyone_happy__lp_distribution_20,"Compares eight cashflow routing strategies, varying the LP distribution share from 20% to 90% while preserving the current reinvestment/reserve split for the remaining cash. | Moderate real estate and hedge fund performance baseline; tests whether ordinary cash routing can reach the LP cash hurdle. | 20% of generated cash to LP, remaining cash mostly reinvested.",top_down,10000000.0,8500000.0,8500000.0,0.0,0.0,8500000.0,0.0,,13608773.85782529,0.0,0.0,13608773.85782529,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,2.0,20000000.0,20000000.0,2.0,2.0,0.0628328425638367,0.0628328425638367,0.0628328425638367,,,True,12.0,True,14813891.796731414,2636264.81520327,459789.64720427577,14813891.796731414,15273681.44393569,1.4813891796731413,1.527368144393569,165739.470336,33147.8940672,True,0,0,0,0,1,11,0,0.0,True,10679173.844937097,0.0,5339586.922468549,20000000.0,3203752.1534811286,1.8728040474293641,0.5,0.29999999999999993,12.0,12.0,BACKEND_HEAVY,True,True,"5, 7, 10",True,0.35,0.5,True,12.0,0.0,3703752.1534811286,11524148.26232818,2636264.81520327,0.0,0.0,HURDLE_COMPLETION_TRIGGER_EXECUTED,LP_HURDLE_ACHIEVED; HURDLE_REACHED_BUT_LIQUIDITY_CONSTRAINED; SLOW_TIME_HORIZON_DRIFT; GP_SURVIVABILITY_RISK; HURDLE_COMPLETION_TRIGGER_EXECUTED; HURDLE_TRIGGER_ATTEMPTED_BUT_INSUFFICIENT; LP_REDEEMED_VIA_HF_LIQUIDATION; LP_REDEEMED_VIA_REFI
lp_distribution_strategy_sweep__base_hit_everyone_happy__lp_distribution_30,"Compares eight cashflow routing strategies, varying the LP distribution share from 20% to 90% while preserving the current reinvestment/reserve split for the remaining cash. | Moderate real estate and hedge fund performance baseline; tests whether ordinary cash routing can reach the LP cash hurdle. | 30% of generated cash to LP.",top_down,10000000.0,8500000.0,8500000.0,0.0,0.0,8500000.0,0.0,,13608773.85782529,0.0,0.0,13608773.85782529,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,2.0,20000000.0,20000000.0,2.0,2.0,0.0646457120006978,0.0646457120006978,0.0646457120006978,,,True,12.0,True,14269582.775453608,2877634.4898344837,459789.64720427577,14269582.775453608,14729372.422657885,1.4269582775453609,1.4729372422657885,165739.470336,33147.8940672,True,0,0,0,0,1,11,0,0.0,True,10679173.844937097,0.0,4672138.55715998,20000000.0,2803283.134295988,1.8728040474293641,0.4375,0.2625,12.0,12.0,BACKEND_HEAVY,True,True,"5, 7, 10",True,0.35,0.5,True,12.0,0.0,3303283.1342959884,10615330.222388398,2877634.4898344837,0.0,0.0,HURDLE_COMPLETION_TRIGGER_EXECUTED,LP_HURDLE_ACHIEVED; HURDLE_REACHED_BUT_LIQUIDITY_CONSTRAINED; SLOW_TIME_HORIZON_DRIFT; GP_SURVIVABILITY_RISK; HURDLE_COMPLETION_TRIGGER_EXECUTED; HURDLE_TRIGGER_ATTEMPTED_BUT_INSUFFICIENT; LP_REDEEMED_VIA_HF_LIQUIDATION; LP_REDEEMED_VIA_REFI
